Job Release Time,Num Jobs Released
0,1
2,1
5,1
7,1
9,1
14,1
15,1
17,1
19,1
20,1
22,1
25,1
26,1
27,1
31,1
34,1
36,1
39,1
42,1
43,1
46,1
49,1
51,1
57,1
61,1
63,1
64,1
67,1
68,1
69,1
73,1
75,1
76,1
79,1
80,1
84,1
85,1
88,1
90,1
94,1
100,1
101,1
102,1
105,1
106,1
107,1
108,1
110,1
112,1
117,1
118,1
120,1
123,1
126,1
127,1
129,1
130,1
132,1
134,1
136,1
138,1
139,1
140,1
141,1
142,1
145,1
146,1
149,1
150,1
154,1
157,1
158,1
161,1
162,1
166,1
167,1
168,1
170,1
171,1
173,1
174,1
176,1
178,1
181,1
185,1
186,1
187,1
189,1
190,1
192,1
194,1
195,1
196,1
205,1
208,1
210,1
212,1
213,1
215,1
217,1
